Dove;Regione;Elettori;Votanti;%;Schede nulle;Schede bianche;Schede contestate;Coalizioni e liste;Voti;%;Seggi;Candidati uninominali eletti;Totale
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;18228;0,36;;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;AZIONE  ITALIA VIVA  CALENDA;513620;10,15;2;;2
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;MOVIMENTO 5 STELLE;370336;7,32;2;;2
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;ITALEXIT PER L'ITALIA;91757;1,81;;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;ITALIA SOVRANA E POPOLARE;58143;1,15;;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;UNIONE POPOLARE CON DE MAGISTRIS;55894;1,1;;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;VITA;40201;0,79;;;
SENATO;LOMBARDIA;7505068;5260161;70,09;129108;71261;944;MASTELLA NOI DI CENTRO EUROPEISTI;6249;0,12;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;340986;44,8;1;2;3
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;FRATELLI D'ITALIA CON GIORGIA MELONI;224466;29,49;1;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;LEGA PER SALVINI PREMIER;60793;7,99;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;FORZA ITALIA;49751;6,54;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;5976;0,79;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;200457;26,34;1;;1
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;151772;19,94;1;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;ALLEANZA VERDI E SINISTRA;24778;3,26;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;PIUEUROPA;20335;2,67;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;3572;0,47;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;MOVIMENTO 5 STELLE;104964;13,79;1;;1
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;AZIONE  ITALIA VIVA  CALENDA;56490;7,42;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;ITALEXIT PER L'ITALIA;20021;2,63;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;ITALIA SOVRANA E POPOLARE;10445;1,37;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;UNIONE POPOLARE CON DE MAGISTRIS;10021;1,32;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;PARTITO COMUNISTA ITALIANO;8647;1,14;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;VITA;6334;0,83;;;
SENATO;MARCHE;1165397;797050;68,39;21956;13922;73;ALTERNATIVA PER L'ITALIA  NO GREEN PASS;2734;0,36;;;
SENATO;MOLISE;243884;138023;56,59;5074;3263;0;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;55656;42,92;1;1;2
SENATO;MOLISE;243884;138023;56,59;5074;3263;0;FRATELLI D'ITALIA CON GIORGIA MELONI;29063;22,41;1;;
SENATO;MOLISE;243884;138023;56,59;5074;3263;0;FORZA ITALIA;16434;12,67;;;
