"Coalizione","Dove","Partito","Circoscrizione","Collegio Uninominale","Città principale","Candidato"
"Centrosinistra","Senato","-","Puglia","Puglia - U02","Andria","Domenico Lomelo"
"Centrosinistra","Senato","-","Puglia","Puglia - U03","Bari","Michele Nitti"
"Centrosinistra","Senato","-","Puglia","Puglia - U04","Taranto","Maria Grazia Cascarano"
"Centrosinistra","Senato","-","Puglia","Puglia - U05","Lecce","Luigi Lopalco"
"Centrosinistra","Senato","-","Sardegna","Sardegna - U01","Cagliari","Maria Del Zompo"
"Centrosinistra","Senato","-","Sardegna","Sardegna - U02","Sassari","Gavino Manca"
"Centrosinistra","Senato","-","Sicilia","Sicilia - U01","Palermo","Ninni Terminelli"
"Centrosinistra","Senato","-","Sicilia","Sicilia - U02","Marsala","Stefania Marascia"
"Centrosinistra","Senato","-","Sicilia","Sicilia - U03","Gela","Marina Castiglione"
"Centrosinistra","Senato","-","Sicilia","Sicilia - U04","Catania","Orazio Arancio"
"Centrosinistra","Senato","-","Sicilia","Sicilia - U05","Siracusa","Paolo Amenta"
"Centrosinistra","Senato","-","Sicilia","Sicilia - U06","Messina","Antonia Russo"
"Centrosinistra","Senato","-","Toscana","Toscana - U01","Arezzo","Silvio Franceschelli"
"Centrosinistra","Senato","-","Toscana","Toscana - U02","Livorno","Andrea Marcucci"
"Centrosinistra","Senato","-","Toscana","Toscana - U03","Prato","Anna Graziani"
"Centrosinistra","Senato","-","Toscana","Toscana - U04","Firenze","Ilaria Cucchi"
"Centrosinistra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U01","Trento","Paolo Patton"
"Centrosinistra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U02","Rovereto","Donatella Conzatti"
"Centrosinistra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U03","Pergine Valsugana","Michele Sartori"
"Centrosinistra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U04","Bolzano/Bozen","Luigi Spagnolli"
"Centrosinistra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U05","Merano/Meran","Daniela Rossi"
"Centrosinistra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U06","Bressanone/Brixen","Renate Prader"
"Centrosinistra","Senato","-","Umbria","Umbria - U01","Perugia","Federico Novelli"
"Centrosinistra","Senato","-","Valle d'Aosta","Valle d'aosta/Vallée d'Aoste -
U01","Aosta","Patrick Vesan"
"Centrosinistra","Senato","-","Veneto","Veneto - U01","Venezia","Michele Moniato"
"Centrosinistra","Senato","-","Veneto","Veneto - U02","Treviso","Paolo Galeano"
"Centrosinistra","Senato","-","Veneto","Veneto - U03","Padova","Emanuele Alecci"
"Centrosinistra","Senato","-","Veneto","Veneto - U04","Vicenza","Claudia Longhi"
"Centrosinistra","Senato","-","Veneto","Veneto - U05","Verona","Anna Maria Sterchele"
"Movimento5Stelle","Senato","Movimento5Stelle","Abruzzo","Abruzzo - U01","Pescara","Isidoro Malandra"
"Movimento5Stelle","Senato","Movimento5Stelle","Basilicata","Basilicata - U01","Potenza","Antonio Materdomini"
"Movimento5Stelle","Senato","Movimento5Stelle","Calabria","Calabria - U01","Corigliano-Rossano","Maria Saladino"
