"Dove","Regione","Elettori","Votanti","Percentuale votanti","Schede nulle","Schede bianche","Schede contestate","Coalizioni e liste","Voti","Percentuale voti","Seggi","Candidati uninominali eletti","Totale"
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"FORZA ITALIA",111603,"9.54","1",NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"LEGA PER SALVINI PREMIER",33636,"2.88",NA,NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC",6965,"0.6",NA,NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO",253603,"21.69","3",NA,3
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA",168654,"14.42","2",NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"ALLEANZA VERDI E SINISTRA",35867,"3.07","1",NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO",24882,"2.13",NA,NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"PIUEUROPA",24200,"2.07",NA,NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"AZIONE - ITALIA VIVA - CALENDA",62788,"5.37","1",NA,1
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"UNIONE POPOLARE CON DE MAGISTRIS",30382,"2.6",NA,NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"ITALEXIT PER L'ITALIA",12830,"1.1",NA,NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"ITALIA SOVRANA E POPOLARE",8235,"0.7",NA,NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"MASTELLA NOI DI CENTRO EUROPEISTI",3834,"0.33",NA,NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC",428954,"37.8","4",7,11
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"FRATELLI D'ITALIA CON GIORGIA MELONI",239860,"21.14","2",NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"FORZA ITALIA",111825,"9.85","1",NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"LEGA PER SALVINI PREMIER",68454,"6.03","1",NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC",8815,"0.78",NA,NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"MOVIMENTO 5 STELLE",312937,"27.58","3",NA,3
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO",312937,"27.58","3",NA,3
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA",191338,"16.86","2",NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"ALLEANZA VERDI E SINISTRA",27529,"2.43","1",NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"PIUEUROPA",22346,"1.97",NA,NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO",15801,"1.39",NA,NA,NA
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"AZIONE - ITALIA VIVA - CALENDA",57389,"5.06","1",NA,1
"CAMERA","CAMPANIA 2",2131555,1194845,56.06,33218,26631,193,"MASTELLA NOI DI CENTRO EUROPEISTI",29415,"2.59",NA,NA,NA
