Circoscrizione;Collegio Uninominale;Coalizione/lista;Candidato
PUGLIA;PUGLIA - U04;MOVIMENTO 5 STELLE;NICOLA GRASSO
PUGLIA;PUGLIA - U04;ITALEXIT PER L'ITALIA;ANGELA ROSSANO
PUGLIA;PUGLIA - U04;+EUROPA,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MICHELE ABBATICCHIO
PUGLIA;PUGLIA - U04;AZIONE - ITALIA VIVA - CALENDA;BENEDETTO GRILLO
PUGLIA;PUGLIA - U05;UNIONE POPOLARE CON DE MAGISTRIS;LAURA MARCHETTI
PUGLIA;PUGLIA - U05;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;DAVIDE BELLOMO
PUGLIA;PUGLIA - U05;ITALIA SOVRA E POPOLARE;EMMA PRENCIPE
PUGLIA;PUGLIA - U05;MOVIMENTO 5 STELLE;ALBERTO CLAUDIO DE GIGLIO
PUGLIA;PUGLIA - U05;ITALEXIT PER L'ITALIA;VINCENZO MADETTI
PUGLIA;PUGLIA - U05;+EUROPA,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;LUISA TORSI
PUGLIA;PUGLIA - U05;AZIONE - ITALIA VIVA - CALENDA;STEFANO FRANCO
PUGLIA;PUGLIA - U06;UNIONE POPOLARE CON DE MAGISTRIS;PRENESTE ANZOLIN
PUGLIA;PUGLIA - U06;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;ROSSANO SASSO
PUGLIA;PUGLIA - U06;ITALIA SOVRA E POPOLARE;VINCENZO STELLACCIO
PUGLIA;PUGLIA - U06;MOVIMENTO 5 STELLE;BEATRICE OTTAVIANI
PUGLIA;PUGLIA - U06;ITALEXIT PER L'ITALIA;SABRINA MAFALDA LANZILLOTTI
PUGLIA;PUGLIA - U06;+EUROPA,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;DOMENICO NISI
PUGLIA;PUGLIA - U06;AZIONE - ITALIA VIVA - CALENDA;ROSALIA MARIA LISI
PUGLIA;PUGLIA - U08;UNIONE POPOLARE CON DE MAGISTRIS;MATTEO SPADARO
PUGLIA;PUGLIA - U08;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;DARIO IAIA
PUGLIA;PUGLIA - U08;ITALIA SOVRA E POPOLARE;ANTONIETTA TAGLIENTE
PUGLIA;PUGLIA - U08;MOVIMENTO 5 STELLE;ANNAGRAZIA ANGOLANO
PUGLIA;PUGLIA - U08;ITALEXIT PER L'ITALIA;COSIMO BRECCIA
PUGLIA;PUGLIA - U08;+EUROPA,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;GIAMPIERO MANCARELLI
PUGLIA;PUGLIA - U08;AZIONE - ITALIA VIVA - CALENDA;ANGELO DI LENA
PUGLIA;PUGLIA - U07;UNIONE POPOLARE CON DE MAGISTRIS;GIANCARLO SCALONE
PUGLIA;PUGLIA - U07;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;MAURO D'ATTIS
PUGLIA;PUGLIA - U07;ITALIA SOVRA E POPOLARE;GIUSEPPINA DE BIASI
PUGLIA;PUGLIA - U07;MOVIMENTO 5 STELLE;SALVATORE GIULIANO
PUGLIA;PUGLIA - U07;ITALEXIT PER L'ITALIA;CRISTINA PAOLINO
PUGLIA;PUGLIA - U07;+EUROPA,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ELENA TIZIANA BRIGANTE
PUGLIA;PUGLIA - U07;AZIONE - ITALIA VIVA - CALENDA;ANTONIETTA CURLO
PUGLIA;PUGLIA - U09;UNIONE POPOLARE CON DE MAGISTRIS;MARIANNA LENTINI
PUGLIA;PUGLIA - U09;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;SAVERIO CONGEDO
PUGLIA;PUGLIA - U09;ITALIA SOVRA E POPOLARE;GIOVANNA CORICCIATI
PUGLIA;PUGLIA - U09;MOVIMENTO 5 STELLE;FRANCESCO MANDOI
PUGLIA;PUGLIA - U09;ITALEXIT PER L'ITALIA;MINOTTA MORELLI
PUGLIA;PUGLIA - U09;+EUROPA,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SEBASTIANO GIUSEPPE LEO
PUGLIA;PUGLIA - U09;AZIONE - ITALIA VIVA - CALENDA;MARIA SOAVE ALEMANNO
PUGLIA;PUGLIA - U10;UNIONE POPOLARE CON DE MAGISTRIS;LUCIA ANTONUCCI
PUGLIA;PUGLIA - U10;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;ALESSANDRO COLUCCI
PUGLIA;PUGLIA - U10;ITALIA SOVRA E POPOLARE;IVANO GIOFFREDA
PUGLIA;PUGLIA - U10;MOVIMENTO 5 STELLE;MARINA ZELA
PUGLIA;PUGLIA - U10;ITALEXIT PER L'ITALIA;ALESSIO PARATA
PUGLIA;PUGLIA - U10;+EUROPA,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANNA GRAZIA MARASCHIO
PUGLIA;PUGLIA - U10;AZIONE - ITALIA VIVA - CALENDA;MARIA ADDOLORATA FIORE
BASILICATA;BASILICATA - U01;AZIONE - ITALIA VIVA - CALENDA;LUCA BRAIA
BASILICATA;BASILICATA - U01;PARTITO COMUNISTA ITALIANO;GIUSEPPE AMODEO
BASILICATA;BASILICATA - U01;ITALIA SOVRA E POPOLARE;GIUSEPPE LARICCIA
BASILICATA;BASILICATA - U01;MASTELLA NOI DI CENTRO EUROPEISTI;LUIGI EMANUELE MARSICO
BASILICATA;BASILICATA - U01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA;FRANCESCO PIETRANTUONO
BASILICATA;BASILICATA - U01;UNIONE POPOLARE CON DE MAGISTRIS;VINCENZO RITUNNANO
BASILICATA;BASILICATA - U01;LEGA PER SALVINI PREMIER,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;SALVATORE CAIATA
BASILICATA;BASILICATA - U01;MOVIMENTO 5 STELLE;VIVIANA VERRI
BASILICATA;BASILICATA - U01;ITALEXIT PER L'ITALIA;GIORGIO SANTORIELLO
CALABRIA;CALABRIA - U01;AZIONE - ITALIA VIVA - CALENDA;DOMENICO MAZZA
CALABRIA;CALABRIA - U01;PARTITO COMUNISTA ITALIANO;MARIANNA GORPIA
CALABRIA;CALABRIA - U01;ITALIA SOVRA E POPOLARE;NATALE GIUSEPPE CALABRETTA
CALABRIA;CALABRIA - U01;MASTELLA NOI DI CENTRO EUROPEISTI;VITTORIA VILLIRILLO
CALABRIA;CALABRIA - U01;VITA;SARA CUNIAL
CALABRIA;CALABRIA - U01;FORZA DEL POPOLO;CLAUDIA CASTRO
CALABRIA;CALABRIA - U01;SUD CHIAMA NORD;VALERIA NISTICO'
CALABRIA;CALABRIA - U01;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;GIOVANNI PAPASSO
CALABRIA;CALABRIA - U01;UNIONE POPOLARE CON DE MAGISTRIS;MARIA ANGELICA STAMATO
CALABRIA;CALABRIA - U01;LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;DOMENICO FURGIUELE
CALABRIA;CALABRIA - U01;MOVIMENTO 5 STELLE;VITTORIA BALDINO
CALABRIA;CALABRIA - U01;ALTERTIVA PER L'ITALIA - NO GREEN PASS;ERALDO RIZZUTI
CALABRIA;CALABRIA - U01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;DOMENICO NIGRO DI GREGORIO
CALABRIA;CALABRIA - U01;ITALEXIT PER L'ITALIA;CAROLINA DE LEO
CALABRIA;CALABRIA - U02;AZIONE - ITALIA VIVA - CALENDA;ANNUNZIATA PAESE
CALABRIA;CALABRIA - U02;PARTITO COMUNISTA ITALIANO;VINCENZO FOSSARI
CALABRIA;CALABRIA - U02;ITALIA SOVRA E POPOLARE;SOFIATERESA SCERBO
CALABRIA;CALABRIA - U02;MASTELLA NOI DI CENTRO EUROPEISTI;MARIA ASSUNTA LATTUCA
CALABRIA;CALABRIA - U02;VITA;CARLO FLORIO
CALABRIA;CALABRIA - U02;FORZA DEL POPOLO;ALESSANDRO BUCCIERI
CALABRIA;CALABRIA - U02;SUD CHIAMA NORD;SAVERINA SENA
CALABRIA;CALABRIA - U02;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;VITTORIO PECORARO
CALABRIA;CALABRIA - U02;UNIONE POPOLARE CON DE MAGISTRIS;LUISA GIGLIO
CALABRIA;CALABRIA - U02;LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;ANDREA GENTILE
CALABRIA;CALABRIA - U02;MOVIMENTO 5 STELLE;ANNA LAURA ORRICO
CALABRIA;CALABRIA - U02;ALTERTIVA PER L'ITALIA - NO GREEN PASS;GIOVANNI TROMBINO
CALABRIA;CALABRIA - U02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;MICHELE CASTELLANO
CALABRIA;CALABRIA - U02;ITALEXIT PER L'ITALIA;ANNA D'AGNI
CALABRIA;CALABRIA - U03;AZIONE - ITALIA VIVA - CALENDA;FRANCESCO MAURO
CALABRIA;CALABRIA - U03;PARTITO COMUNISTA ITALIANO;BARBARA SPATARO
CALABRIA;CALABRIA - U03;ITALIA SOVRA E POPOLARE;BIANCA LAURA GRANATO
CALABRIA;CALABRIA - U03;MASTELLA NOI DI CENTRO EUROPEISTI;CATERINA VESCI
CALABRIA;CALABRIA - U03;VITA;ADELE LAMONICA
CALABRIA;CALABRIA - U03;FORZA DEL POPOLO;LAURA CARERI
CALABRIA;CALABRIA - U03;SUD CHIAMA NORD;ILARIA FARAGO'
CALABRIA;CALABRIA - U03;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;GIUSEPPINA IEMMA
CALABRIA;CALABRIA - U03;UNIONE POPOLARE CON DE MAGISTRIS;PIETRO BEVILACQUA
CALABRIA;CALABRIA - U03;LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;WANDA FERRO
CALABRIA;CALABRIA - U03;MOVIMENTO 5 STELLE;ELISA SCUTELLA'
CALABRIA;CALABRIA - U03;ALTERTIVA PER L'ITALIA - NO GREEN PASS;NATALINA LATORRE
CALABRIA;CALABRIA - U03;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ANTONIO TALARICO
CALABRIA;CALABRIA - U03;ITALEXIT PER L'ITALIA;GIUSEPPE GIGLIOTTI
CALABRIA;CALABRIA - U04;AZIONE - ITALIA VIVA - CALENDA;MARIA SOCCORSA GALATI
CALABRIA;CALABRIA - U04;PARTITO COMUNISTA ITALIANO;UGO MORO
CALABRIA;CALABRIA - U04;ITALIA SOVRA E POPOLARE;ADRIANO RENDA
CALABRIA;CALABRIA - U04;MASTELLA NOI DI CENTRO EUROPEISTI;MARIA CONCETTA VALOTTA
CALABRIA;CALABRIA - U04;VITA;RAFFAELE MUSELLA
CALABRIA;CALABRIA - U04;FORZA DEL POPOLO;ALESSANDRA FILICE
CALABRIA;CALABRIA - U04;SUD CHIAMA NORD;IMMACOLATA CERIELLO
CALABRIA;CALABRIA - U04;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;DALILA NESCI
CALABRIA;CALABRIA - U04;UNIONE POPOLARE CON DE MAGISTRIS;MICHELE CONIA
CALABRIA;CALABRIA - U04;LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;GIOVANNI ARRUZZOLO
CALABRIA;CALABRIA - U04;MOVIMENTO 5 STELLE;RICCARDO TUCCI
CALABRIA;CALABRIA - U04;ALTERTIVA PER L'ITALIA - NO GREEN PASS;CARLO MARIA ROMEO
CALABRIA;CALABRIA - U04;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ANTONIO GIUSEPPE NOE'
CALABRIA;CALABRIA - U04;ITALEXIT PER L'ITALIA;DOMENICO ANTONIO GRECO
CALABRIA;CALABRIA - U05;AZIONE - ITALIA VIVA - CALENDA;GIOVANNI LATELLA
CALABRIA;CALABRIA - U05;PARTITO COMUNISTA ITALIANO;NORBERTO NATALI
CALABRIA;CALABRIA - U05;ITALIA SOVRA E POPOLARE;ANTONINO MASSARA
CALABRIA;CALABRIA - U05;MASTELLA NOI DI CENTRO EUROPEISTI;LUIGI CATALANO
CALABRIA;CALABRIA - U05;VITA;ZAIRA VIVIANA LENZI
CALABRIA;CALABRIA - U05;FORZA DEL POPOLO;CARLO FIUMANO'
CALABRIA;CALABRIA - U05;SUD CHIAMA NORD;MARIA TERESA FEMIA
CALABRIA;CALABRIA - U05;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;DOMENICO DONATO BATTAGLIA
CALABRIA;CALABRIA - U05;UNIONE POPOLARE CON DE MAGISTRIS;ANTONIO GUERRIERI
CALABRIA;CALABRIA - U05;LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;FRANCESCO CANNIZZARO
CALABRIA;CALABRIA - U05;MOVIMENTO 5 STELLE;FABIO FOTI
CALABRIA;CALABRIA - U05;ALTERTIVA PER L'ITALIA - NO GREEN PASS;ROSA CANALE
CALABRIA;CALABRIA - U05;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;CRISTINA CAMPOLO
CALABRIA;CALABRIA - U05;ITALEXIT PER L'ITALIA;PIETRO VINCENZO MARCIANO'
SICILIA 1;SICILIA 1 - U01;ITALEXIT PER L'ITALIA;GIUSEPPA RITA MILITELLO
SICILIA 1;SICILIA 1 - U01;UNIONE POPOLARE CON DE MAGISTRIS;PIERA AIELLO
SICILIA 1;SICILIA 1 - U01;SUD CHIAMA NORD;IGOR GELARDA
SICILIA 1;SICILIA 1 - U01;MOVIMENTO 5 STELLE;DAVIDE AIELLO
SICILIA 1;SICILIA 1 - U01;ITALIA SOVRA E POPOLARE;ALESSANDRO D'ALESSANDRO
SICILIA 1;SICILIA 1 - U01;AZIONE - ITALIA VIVA - CALENDA;GIUSEPPE ALESSI
SICILIA 1;SICILIA 1 - U01;+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ERASMO PALAZZOTTO
SICILIA 1;SICILIA 1 - U01;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;GABRIELLA GIAMMANCO
SICILIA 1;SICILIA 1 - U02;ITALEXIT PER L'ITALIA;SONIA BUGLIONE
SICILIA 1;SICILIA 1 - U02;UNIONE POPOLARE CON DE MAGISTRIS;MARIA GRAZIA CARINI
SICILIA 1;SICILIA 1 - U02;SUD CHIAMA NORD;GIANLUCA MARIA CALI'
SICILIA 1;SICILIA 1 - U02;MOVIMENTO 5 STELLE;LEONARDO SALVATORE PENNA
SICILIA 1;SICILIA 1 - U02;ITALIA SOVRA E POPOLARE;DANILO MANZELLA
SICILIA 1;SICILIA 1 - U02;AZIONE - ITALIA VIVA - CALENDA;GIUSEPPE CALTANISSETTA
SICILIA 1;SICILIA 1 - U02;+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;VITTORIO MICHELE CRAXI
SICILIA 1;SICILIA 1 - U02;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;MARIA CAROLINA VARCHI
SICILIA 1;SICILIA 1 - U03;ITALEXIT PER L'ITALIA;DANIELE AUGELLO
SICILIA 1;SICILIA 1 - U03;UNIONE POPOLARE CON DE MAGISTRIS;FULVIO VASSALLO PALEOLOGO
SICILIA 1;SICILIA 1 - U03;SUD CHIAMA NORD;ISMAELE LA VARDERA
SICILIA 1;SICILIA 1 - U03;MOVIMENTO 5 STELLE;DANIELA MORFINO
SICILIA 1;SICILIA 1 - U03;ITALIA SOVRA E POPOLARE;FABIO MAGGIORE
SICILIA 1;SICILIA 1 - U03;AZIONE - ITALIA VIVA - CALENDA;CLAUDIO MERLINO
SICILIA 1;SICILIA 1 - U03;+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MARIA SAELI
SICILIA 1;SICILIA 1 - U03;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;FRANCESCO SAVERIO ROMANO
SICILIA 1;SICILIA 1 - U04;ITALEXIT PER L'ITALIA;ROSSELLA ALFIERI
SICILIA 1;SICILIA 1 - U04;UNIONE POPOLARE CON DE MAGISTRIS;GIUSEPPE CARUSOTTO
SICILIA 1;SICILIA 1 - U04;SUD CHIAMA NORD;GIAMPIERO MODAFFARI
SICILIA 1;SICILIA 1 - U04;MOVIMENTO 5 STELLE;DEDALO COSIMO GAETANO PIGNATONE
SICILIA 1;SICILIA 1 - U04;ITALIA SOVRA E POPOLARE;ALBERTO LOMBARDO
SICILIA 1;SICILIA 1 - U04;AZIONE - ITALIA VIVA - CALENDA;EMANUELE MAGANUCO
SICILIA 1;SICILIA 1 - U04;+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MARTINA RIGGI
SICILIA 1;SICILIA 1 - U04;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;MICHELA VITTORIA BRAMBILLA
SICILIA 1;SICILIA 1 - U05;ITALEXIT PER L'ITALIA;MAURIZIO MICHELE BLO'
SICILIA 1;SICILIA 1 - U05;UNIONE POPOLARE CON DE MAGISTRIS;ELEANNA DURANTE
SICILIA 1;SICILIA 1 - U05;SUD CHIAMA NORD;ROBERTO BATTAGLIA
SICILIA 1;SICILIA 1 - U05;MOVIMENTO 5 STELLE;FILIPPO GIUSEPPE PERCONTI
SICILIA 1;SICILIA 1 - U05;ITALIA SOVRA E POPOLARE;CALOGERO BAVETTA
SICILIA 1;SICILIA 1 - U05;AZIONE - ITALIA VIVA - CALENDA;LEONARDO CIACCIO
SICILIA 1;SICILIA 1 - U05;+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ELEONORA MARIA SCIORTINO
SICILIA 1;SICILIA 1 - U05;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;CALOGERO PISANO
SICILIA 1;SICILIA 1 - U06;ITALEXIT PER L'ITALIA;ADRIANA CAVASINO
SICILIA 1;SICILIA 1 - U06;UNIONE POPOLARE CON DE MAGISTRIS;DAVIDE LICARI
SICILIA 1;SICILIA 1 - U06;SUD CHIAMA NORD;DANIELE VITO MANGIARACINA
SICILIA 1;SICILIA 1 - U06;MOVIMENTO 5 STELLE;VITA MARTINCIGLIO
SICILIA 1;SICILIA 1 - U06;ITALIA SOVRA E POPOLARE;ANTONIO INGROIA
SICILIA 1;SICILIA 1 - U06;AZIONE - ITALIA VIVA - CALENDA;GIULIA PANTALEO
SICILIA 1;SICILIA 1 - U06;+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ANTONIO FERRANTE
SICILIA 1;SICILIA 1 - U06;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;MARTA ANTONIA FASCINA
SICILIA 2;SICILIA 2 - U05;AZIONE - ITALIA VIVA - CALENDA;FABRIZIO BENEDETTO MARIA PULVIRENTI
SICILIA 2;SICILIA 2 - U05;UNIONE POPOLARE CON DE MAGISTRIS;GASPARE DI STEFANO
SICILIA 2;SICILIA 2 - U05;ITALEXIT PER L'ITALIA;MARIO PIETRO COPPOLINO
SICILIA 2;SICILIA 2 - U05;SUD CHIAMA NORD;VALENTINA COSTANTINO
SICILIA 2;SICILIA 2 - U05;VITA;PATRIZIA LA MONICA
SICILIA 2;SICILIA 2 - U05;MOVIMENTO 5 STELLE;KATIA BAGLIO
SICILIA 2;SICILIA 2 - U05;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;TOMMASO ANTONINO CALDERONE
SICILIA 2;SICILIA 2 - U05;ALLEANZA VERDI E SINISTRA,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;GIUSEPPE ARENA
SICILIA 2;SICILIA 2 - U05;ITALIA SOVRA E POPOLARE;ANTONIO GIUSEPPE DI NATALE
SICILIA 2;SICILIA 2 - U06;AZIONE - ITALIA VIVA - CALENDA;LETTERIA MODICA
SICILIA 2;SICILIA 2 - U06;UNIONE POPOLARE CON DE MAGISTRIS;FRANCESCO MUCCIARDI
SICILIA 2;SICILIA 2 - U06;ITALEXIT PER L'ITALIA;CARLO SPANO'
SICILIA 2;SICILIA 2 - U06;SUD CHIAMA NORD;FRANCESCO GALLO
SICILIA 2;SICILIA 2 - U06;VITA;SALVATORE MODICA
SICILIA 2;SICILIA 2 - U06;MOVIMENTO 5 STELLE;GRAZIA D'ANGELO
SICILIA 2;SICILIA 2 - U06;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;MATILDE SIRACUSANO
SICILIA 2;SICILIA 2 - U06;ALLEANZA VERDI E SINISTRA,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;FELICE CALABRO'
SICILIA 2;SICILIA 2 - U06;ITALIA SOVRA E POPOLARE;GIUSEPPE BILLE'
SICILIA 2;SICILIA 2 - U02;AZIONE - ITALIA VIVA - CALENDA;VINCENZA BIAGIA CIRALDO
SICILIA 2;SICILIA 2 - U02;UNIONE POPOLARE CON DE MAGISTRIS;DAMIANO FRANCESCO CUCE
SICILIA 2;SICILIA 2 - U02;ITALEXIT PER L'ITALIA;LUIGI SAVOCA
SICILIA 2;SICILIA 2 - U02;SUD CHIAMA NORD;LUDOVICO BALSAMO
SICILIA 2;SICILIA 2 - U02;VITA;ANNA GAETANA STRANO
SICILIA 2;SICILIA 2 - U02;MOVIMENTO 5 STELLE;LUCIANO CANTONE
SICILIA 2;SICILIA 2 - U02;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;VALERIA CARMELA MARIA SUDANO
SICILIA 2;SICILIA 2 - U02;ALLEANZA VERDI E SINISTRA,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EMILIANO ABRAMO
SICILIA 2;SICILIA 2 - U02;ITALIA SOVRA E POPOLARE;DANIELA COSTANZO
SICILIA 2;SICILIA 2 - U03;AZIONE - ITALIA VIVA - CALENDA;ANGELICA PRESTIANNI
SICILIA 2;SICILIA 2 - U03;UNIONE POPOLARE CON DE MAGISTRIS;ERMELINDA MAJORANA
SICILIA 2;SICILIA 2 - U03;ITALEXIT PER L'ITALIA;ELENA AGATA MALAFARINA
SICILIA 2;SICILIA 2 - U03;SUD CHIAMA NORD;SANTO ORAZIO PRIMAVERA
SICILIA 2;SICILIA 2 - U03;VITA;DANIELE FERRERA
SICILIA 2;SICILIA 2 - U03;MOVIMENTO 5 STELLE;GIOVANNI CARLO AMATO
SICILIA 2;SICILIA 2 - U03;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;FRANCESCO MARIA SALVATORE CIANCITTO
